시,"사용자 성명","영향받는 사용자","이벤트 문맥",구성요소,"이벤트 이름",설명,오리진,"ip 주소"
"30/10/23, 15:32:14",-,-,"시작 페이지",시스템,"강좌 봄","The user with id '0' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:32:14","kim kim",-,시스템,시스템,"사용자가 로그아웃 했습니다.","The user with id '5' has logged out.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:32:11","kim kim","kim kim","사용자: kim kim","User tours","Tour started","The user with id '5' has started the tour with id '4' on the page with URL 'http://localhost/my/'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:32:11","kim kim","kim kim","사용자: kim kim",시스템,"강의 현황","The user with id '5' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 15:32:01","kim kim",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '5' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:31:56","kim kim",-,"URL: 파이썬의 역사",URL,"감좌 모듈 봄","The user with id '5' viewed the 'url' activity with course module id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:31:46","kim kim","kim kim","대화방: 자유채팅방",대화방,"메세지 보냄","The user with id '5' has sent a message in the chat with course module id               '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:31:24","kim kim",-,"대화방: 자유채팅방",대화방,"감좌 모듈 봄","The user with id '5' viewed the 'chat' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:31:22","kim kim",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '5' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:31:15","admin lms","admin lms","대화방: 자유채팅방",대화방,"메세지 보냄","The user with id '2' has sent a message in the chat with course module id               '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:31:00","admin lms",-,"대화방: 자유채팅방",대화방,"감좌 모듈 봄","The user with id '2' viewed the 'chat' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:30:57","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:30:57","admin lms",-,"대화방: 자유채팅방",시스템,"강좌 모듈이 업데이트 되었습니다.","The user with id '2' updated the 'chat' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:30:57","admin lms",-,"강좌: 파이썬 기초",시스템,"달력 이벤트가 만들어졌습니다.","The user with id '2' created the event '자유채팅방' with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:30:06","admin lms",-,"대화방: 자유채팅방",대화방,"감좌 모듈 봄","The user with id '2' viewed the 'chat' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:30:05","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
